ConditionID,StimPresent,Correct,RT,Confidence,ImageryCheck
1,0,1,1796,74,1
1,1,1,917,96,1
1,1,1,786,81,1
1,0,1,470,43,1
1,0,1,884,38,1
1,0,1,847,34,1
1,0,1,473,30,1
1,1,0,670,38,1
1,1,0,763,33,1
1,0,1,427,30,1
1,1,1,1714,32,1
1,0,1,830,29,1
1,1,1,586,65,1
1,0,1,857,26,1
1,1,1,1365,62,1
1,0,1,791,29,1
1,1,1,1197,58,1
1,1,1,719,40,1
1,0,1,687,34,1
1,1,1,1105,58,1
1,0,1,580,26,1
1,1,1,602,70,1
1,0,1,470,27,1
1,1,1,480,72,1
1,0,1,1699,64,1
1,0,1,691,44,1
1,0,1,450,35,1
1,0,1,565,26,1
1,1,1,619,97,1
1,1,1,973,23,1
1,0,1,477,31,1
1,0,1,881,21,1
1,0,1,1305,21,1
1,1,1,433,58,1
1,1,0,835,33,1
1,1,0,1193,32,1
1,0,1,672,30,1
1,1,1,536,31,1
1,1,1,504,59,1
1,1,0,1619,32,1
1,1,0,891,30,1
1,0,1,877,30,1
1,1,0,1428,21,1
1,1,1,2788,24,1
1,0,1,716,26,1
1,1,1,1965,16,1
1,0,1,677,19,1
1,0,1,884,19,1
2,1,1,1207,62,1
2,0,1,888,59,1
2,0,1,484,66,1
2,1,1,659,40,1
2,1,0,1166,26,1
2,0,1,502,22,1
2,1,1,591,64,1
2,0,1,389,26,1
2,0,1,873,30,1
2,0,1,514,22,1
2,1,1,744,61,1
2,0,1,644,34,1
2,1,1,553,33,1
2,1,1,1097,24,1
2,1,0,1128,25,1
2,0,1,413,24,1
2,0,1,1130,36,1
2,1,0,759,18,1
2,1,0,951,25,1
2,1,0,514,26,1
2,0,1,1969,43,1
2,1,0,421,27,1
2,0,1,636,38,1
2,0,1,796,26,1
3,1,1,994,85,1
3,1,1,1047,42,1
3,0,1,1126,58,1
3,1,1,3060,12,1
3,0,1,462,34,1
3,1,0,1538,16,1
3,0,1,500,36,1
3,0,1,1023,27,1
3,0,1,415,24,1
3,0,1,511,25,1
3,1,0,846,30,1
3,0,1,732,34,1
3,0,1,551,37,1
3,1,0,670,35,1
3,1,0,837,19,1
3,1,0,482,41,1
3,0,1,442,27,1
3,1,0,370,31,1
3,0,1,684,30,1
3,0,1,532,24,1
3,1,0,623,34,1
3,0,1,546,36,1
3,1,0,623,36,1
3,1,0,514,29,1
2,0,1,1084,38,1
2,1,0,1298,35,1
2,1,0,593,33,1
2,0,1,564,32,1
2,1,0,564,34,1
2,0,1,518,22,1
2,1,0,552,31,1
2,1,0,924,18,1
2,0,1,485,19,1
2,0,1,468,20,1
2,1,0,609,10,1
2,1,0,608,15,1
2,1,0,552,21,1
2,1,0,464,10,1
2,1,0,565,12,1
2,1,0,394,0,1
2,0,1,864,9,1
2,0,1,383,12,1
2,0,1,389,12,1
2,0,1,389,14,1
2,0,1,452,9,1
2,0,1,396,14,1
2,1,0,475,14,1
2,0,1,658,17,1
3,0,0,1526,22,1
3,1,1,869,71,1
3,1,1,610,82,1
3,0,1,659,32,1
3,0,0,1342,24,1
3,0,1,1021,18,1
3,1,1,571,56,1
3,0,0,2881,8,1
3,1,1,495,65,1
3,0,0,4090,2,1
3,1,1,334,82,1
3,0,0,584,41,1
3,1,1,459,40,1
3,0,0,2555,22,1
3,1,1,461,43,1
3,0,0,689,27,1
3,0,1,466,21,1
3,1,1,394,35,1
3,0,0,592,21,1
3,1,1,460,34,1
3,1,1,446,54,1
3,1,1,384,42,1
3,0,1,1460,15,1
3,1,1,357,34,1
1,1,0,2610,60,1
1,1,0,780,42,1
1,1,0,358,34,1
1,0,1,925,24,1
1,1,1,516,57,1
1,0,1,433,26,1
1,0,1,437,20,1
1,0,1,371,30,1
1,0,1,402,22,1
1,1,1,499,37,1
1,0,1,651,19,1
1,1,1,595,41,1
1,0,1,720,21,1
1,0,1,575,14,1
1,1,0,681,15,1
1,1,1,417,52,1
1,1,0,381,17,1
1,1,0,483,26,1
1,0,1,331,21,1
1,0,1,361,23,1
1,0,1,1145,24,1
1,1,0,913,19,1
1,1,0,430,26,1
1,0,1,492,18,1
3,0,1,1143,58,1
3,1,1,763,57,1
3,1,1,1140,37,1
3,1,1,506,29,1
3,1,0,639,25,1
3,1,0,516,26,1
3,0,1,698,22,1
3,1,1,483,44,1
3,0,1,633,21,1
3,1,1,417,56,1
3,1,1,597,34,1
3,0,1,592,21,1
3,0,1,352,18,1
3,1,1,491,39,1
3,0,1,447,20,1
3,1,0,978,20,1
3,0,1,636,28,1
3,1,0,1316,21,1
3,0,1,640,16,1
3,0,1,441,19,1
3,1,0,772,17,1
3,0,1,566,16,1
3,0,1,505,37,1
3,0,1,896,41,1
