ConditionID,StimPresent,Correct,RT,Confidence,ImageryCheck
1,1,1,3203.20000000112,62,0
1,1,1,658.300000000745,88,0
1,0,1,500.299999998882,33,0
1,1,1,892.299999998882,83,0
1,0,0,689.39999999851,72,0
1,1,1,372.800000000745,90,0
1,0,0,417.800000000745,55,0
1,0,0,553.5,61,0
1,0,1,773.400000000373,13,0
1,0,1,287.200000001118,16,0
1,0,0,407.400000000373,69,0
1,1,1,364.400000000373,99,0
1,0,0,805.099999999627,90,0
1,1,1,405.39999999851,100,0
1,1,1,730.200000001118,97,0
1,1,1,695.700000001118,91,0
1,0,1,356.199999999255,31,0
1,1,1,366.5,71,0
1,1,1,163.800000000745,68,0
1,0,0,550,62,0
1,0,1,600.300000000745,39,0
1,1,1,244.699999999255,60,0
1,1,1,343.700000001118,67,0
1,0,1,894.900000000373,65,0
2,1,0,977.699999999255,66,1
2,0,0,447.5,68,1
2,0,0,1089.30000000075,61,1
2,0,0,1146,62,1
2,0,1,966.200000001118,17,1
2,1,1,748.599999999627,79,1
2,1,1,716.10000000149,87,1
2,0,1,995.39999999851,25,1
2,0,1,1006.59999999963,20,1
2,0,1,634.400000000373,14,1
2,0,0,372.699999999255,33,1
2,0,0,896.799999998882,31,1
2,1,1,357.700000001118,87,1
2,1,1,398.200000001118,63,1
2,0,0,1290.89999999851,74,1
2,1,1,419.599999999627,78,1
2,0,0,995.799999998882,75,1
2,1,1,298.900000000373,67,1
2,1,1,476.700000001118,66,1
2,1,1,482.199999999255,71,1
2,1,1,802.400000000373,67,1
2,1,1,409.099999999627,77,1
2,0,1,530.099999999627,18,1
2,1,1,423.700000001118,73,1
1,0,0,805.300000000745,69,1
1,1,0,383.400000000373,0,1
1,0,0,7233.30000000075,86,1
1,0,0,1034.09999999963,86,1
1,1,1,577.700000001118,82,1
1,0,1,813,68,1
1,0,0,550.400000000373,71,1
1,1,1,375.200000001118,97,1
1,1,1,720.900000000373,90,1
1,1,1,389.5,75,1
1,1,1,682.400000000373,78,1
1,1,1,436.299999998882,70,1
1,0,1,336.700000001118,84,1
1,0,1,363.699999999255,73,1
1,0,1,373.5,70,1
1,0,0,424.900000000373,79,1
1,1,1,678.599999999627,87,1
1,0,1,451.299999998882,22,1
1,1,1,350.5,67,1
1,0,1,672.5,26,1
1,1,1,404.099999999627,84,1
1,0,0,669.700000001118,63,1
1,1,1,1073.09999999963,100,1
1,1,1,397.099999999627,81,1
3,1,1,1185.29999999888,83,1
3,1,1,310.199999999255,83,1
3,1,1,48,72,1
3,0,0,417.599999999627,71,1
3,0,0,3014.59999999963,26,1
3,0,0,1143.59999999963,76,1
3,1,1,870.099999999627,83,1
3,0,1,1464.40000000037,78,1
3,0,0,359.5,80,1
3,0,0,479.200000001118,78,1
3,1,1,394.599999999627,84,1
3,1,1,400.700000001118,94,1
3,1,1,65,96,1
3,0,1,662.5,24,1
3,1,1,376.099999999627,71,1
3,1,1,343.099999999627,87,1
3,0,0,497.800000000745,89,1
3,1,1,390.300000000745,91,1
3,0,1,883,64,1
3,0,0,167.700000001118,83,1
3,1,1,305.200000001118,87,1
3,0,0,308.5,100,1
3,0,0,564,95,1
3,1,1,350.799999998882,81,1
3,0,0,2410.20000000112,85,1
3,0,0,1236.10000000149,17,1
3,1,1,1431.20000000112,96,1
3,0,0,707.900000000373,88,1
3,0,1,321,19,1
3,1,1,1237.59999999963,95,1
3,0,0,1337.09999999963,25,1
3,1,1,619.300000000745,83,1
3,0,1,369.900000000373,43,1
3,1,1,417.300000000745,89,1
3,1,1,434.5,72,1
3,1,1,1048.40000000037,74,1
3,0,0,479.10000000149,58,1
3,1,1,736.300000000745,77,1
3,1,1,532.300000000745,62,1
3,0,1,782.900000000373,17,1
3,0,0,335.200000001118,62,1
3,0,1,356.199999999255,84,1
3,1,1,464.900000000373,91,1
3,1,1,347.200000001118,74,1
3,0,0,354.699999999255,82,1
3,1,1,380.60000000149,81,1
3,1,1,334.400000000373,96,1
3,0,1,595,14,1
3,1,1,659.699999999255,33,1
3,0,1,780.700000001118,57,1
3,0,0,1677.19999999925,73,1
3,1,1,663.300000000745,83,1
3,1,1,514.400000000373,95,1
3,1,1,674.5,88,1
3,0,0,398.699999999255,38,1
3,0,1,665.300000000745,56,1
3,1,1,726.699999999255,74,1
3,0,0,515.300000000745,21,1
3,1,1,317.099999999627,92,1
3,0,1,1289.20000000112,9,1
3,1,0,348.900000000373,2,1
3,1,1,377.599999999627,16,1
3,1,1,353,78,1
3,0,1,932.5,8,1
3,0,0,352.599999999627,69,1
3,0,1,383.099999999627,76,1
3,0,0,354.299999998882,19,1
3,0,0,545.299999998882,80,1
3,1,1,532.300000000745,95,1
3,1,1,388.700000001118,86,1
3,1,1,420.89999999851,85,1
3,0,0,1426.69999999925,31,1
1,0,0,401.400000000373,86,1
1,1,1,601.299999998882,86,1
1,1,1,410.599999999627,96,1
1,0,1,341.900000000373,13,1
1,0,1,776.5,65,1
1,0,0,723.199999999255,32,1
1,1,1,634.200000001118,86,1
1,0,1,685.599999999627,76,1
1,0,0,312.5,17,1
1,0,0,417.700000001118,10,1
1,1,0,385.5,12,1
1,1,1,617.800000000745,26,1
1,0,0,332.800000000745,90,1
1,1,1,578.200000001118,94,1
1,1,0,998.099999999627,14,1
1,1,0,954.199999999255,12,1
1,0,1,366.89999999851,12,1
1,0,0,227.199999999255,95,1
1,0,0,365.400000000373,76,1
1,1,1,508.599999999627,80,1
1,1,1,514.599999999627,59,1
1,0,1,359.299999998882,9,1
1,1,1,564.800000000745,76,1
1,1,1,184.599999999627,96,1
