ConditionID,StimPresent,Correct,RT,Confidence,ImageryCheck
3,0,1,1216.70000000019,81,1
3,1,1,1980.40000000037,98,1
3,1,1,2009.5,95,1
3,0,0,2098,75,1
3,1,1,264.799999999814,100,1
3,0,1,1586.20000000019,31,1
3,1,1,429.700000000186,93,1
3,0,0,1742.5,39,1
3,0,1,1027,26,1
3,0,1,839.5,36,1
3,1,1,413.099999999627,86,1
3,1,1,480.299999999814,91,1
3,0,1,756.900000000373,41,1
3,1,1,296.600000000559,94,1
3,1,1,410.299999999814,91,1
3,0,1,460.200000000186,37,1
3,1,1,298.099999999627,88,1
3,1,1,463.5,96,1
3,0,0,956.5,36,1
3,1,1,286,95,1
3,0,0,491,30,1
3,1,1,274.200000000186,94,1
3,0,1,463.200000000186,39,1
3,0,1,642,86,1
2,1,1,2207.20000000019,100,1
2,1,1,756.799999999814,98,1
2,0,0,1607.70000000019,44,1
2,1,1,331,93,1
2,0,1,1282,41,1
2,0,1,1603.5,45,1
2,1,1,326.700000000186,94,1
2,1,1,286.399999999441,100,1
2,1,1,338.299999999814,100,1
2,0,1,676.299999999814,31,1
2,1,1,436,96,1
2,1,1,336.899999999441,96,1
2,0,1,507.799999999814,32,1
2,1,1,840,97,1
2,0,1,1162,32,1
2,0,1,759.5,29,1
2,1,1,319.700000000186,95,1
2,0,1,994.099999999627,32,1
2,0,1,548.800000000745,90,1
2,0,1,573.700000000186,87,1
2,1,1,405.200000000186,95,1
2,1,1,357.5,93,1
2,0,1,443.399999999441,92,1
2,0,1,334.900000000373,90,1
1,1,1,641.599999999627,90,1
1,1,1,812.599999999627,70,1
1,1,1,385.200000000186,73,1
1,0,1,674.5,41,1
1,1,1,303,92,1
1,0,1,980.299999999814,36,1
1,0,1,570.200000000186,37,1
1,0,1,787.100000000559,75,1
1,0,1,473.700000000186,77,1
1,1,1,327.100000000559,82,1
1,0,1,509.400000000373,84,1
1,1,1,309.900000000373,88,1
1,0,1,444.599999999627,88,1
1,0,1,714.799999999814,75,1
1,1,0,337.900000000373,79,1
1,1,0,400.400000000373,93,1
1,0,1,471.300000000745,95,1
1,1,0,353.900000000373,98,1
1,0,1,316.700000000186,96,1
1,1,0,310.799999999814,89,1
1,0,1,335.5,94,1
1,0,1,337.600000000559,90,1
1,1,0,347.5,97,1
1,1,0,398.399999999441,88,1
3,0,1,1119.30000000075,83,1
3,0,1,438.299999999814,84,1
3,0,1,306,88,1
3,1,0,329.599999999627,97,1
3,1,1,1068.30000000075,91,1
3,0,1,660.799999999814,87,1
3,0,1,354.900000000373,84,1
3,1,1,849.5,93,1
3,1,1,745.400000000373,87,1
3,0,1,523,83,1
3,1,1,431.099999999627,65,1
3,0,1,616.799999999814,86,1
3,0,1,423.700000000186,81,1
3,0,1,53120.8999999994,68,1
3,1,1,700,79,1
3,0,1,725.699999999255,91,1
3,1,1,497.600000000559,88,1
3,1,1,1361.20000000019,25,1
3,0,1,751.599999999627,82,1
3,1,1,1618.5,14,1
3,1,1,424.299999999814,97,1
3,1,1,291.599999999627,73,1
3,0,1,671,28,1
3,1,1,527,31,1
1,1,1,900.900000000373,98,1
1,1,1,527.200000000186,98,1
1,0,0,1326.79999999981,59,1
1,1,1,315.399999999441,98,1
