ConditionID,StimPresent,Correct,RT,Confidence,ImageryCheck
1,1,1,1676.39999997616,35,1
1,1,1,1015.39999997616,32,1
1,1,1,1040.39999997616,43,1
1,0,1,869.599999904633,69,1
1,0,1,683.5,76,1
1,1,1,565,55,1
1,1,1,598.700000047684,29,1
1,1,0,1028.60000002384,57,1
1,0,1,744.800000071526,64,1
1,0,1,574.099999904633,79,1
1,0,1,840.399999976158,56,1
1,0,1,1165.70000004768,64,1
1,0,1,550.299999952316,77,1
1,0,1,617.299999952316,59,1
1,1,1,538.600000023842,42,1
1,1,1,584,88,1
1,0,1,657.800000071526,65,1
1,1,1,519.5,70,1
1,0,1,741.799999952316,58,1
1,1,1,466.399999976158,63,1
1,1,1,575.599999904633,75,1
1,0,1,547.299999952316,61,1
1,0,1,399.300000071526,40,1
1,1,1,483.700000047684,66,1
3,0,1,4204.70000004768,33,1
3,1,0,1850.39999997616,32,1
3,0,1,1734.20000004768,18,1
3,1,1,650,57,1
3,1,1,1795.39999997616,73,1
3,0,1,1292.19999992847,58,1
3,1,1,636.799999952316,71,1
3,1,0,1413.70000004768,12,1
3,1,0,1334.20000004768,41,1
3,1,0,1647.89999997616,53,1
3,1,1,635.199999928474,36,1
3,1,1,823.299999952316,73,1
3,0,1,651,68,1
3,1,1,1595.89999997616,27,1
3,1,1,900.5,66,1
3,0,1,1965.69999992847,30,1
3,0,1,630.200000047684,86,1
3,0,1,1492.39999997616,69,1
3,0,1,739.199999928474,63,1
3,1,1,662.600000023842,85,1
3,0,1,1572.79999995232,25,1
3,0,1,644.200000047684,67,1
3,0,1,578.100000023842,90,1
3,0,1,474.399999976158,60,1
3,1,0,1231.29999995232,63,1
3,1,1,585,77,1
3,0,1,792.299999952316,58,1
3,0,1,747.100000023842,84,1
3,1,1,478.600000023842,43,1
3,0,1,488.100000023842,82,1
3,1,1,643,39,1
3,0,1,1080.10000002384,65,1
3,0,1,917.399999976158,82,1
3,0,1,411.399999976158,85,1
3,0,0,1734.5,14,1
3,1,1,528,64,1
3,1,1,457.899999976158,72,1
3,0,1,472.899999976158,54,1
3,1,1,680.399999976158,79,1
3,1,1,484.100000023842,68,1
3,0,1,450.600000023842,81,1
3,0,1,345.300000071526,84,1
3,1,1,1536.19999992847,34,1
3,1,0,428.099999904633,40,1
3,0,1,756.100000023842,82,1
3,1,1,370.5,30,1
3,1,1,1842,76,1
3,0,1,447.399999976158,24,1
1,1,1,639.799999952316,62,1
1,1,1,2682.30000007153,32,1
1,0,1,387.899999976158,82,1
1,0,1,488.799999952316,58,1
1,0,1,1143.80000007153,62,1
1,0,1,1294.39999997616,59,1
1,0,1,585.600000023842,75,1
1,0,1,568.300000071526,55,1
1,0,1,621.5,73,1
1,0,1,665.700000047684,76,1
1,0,1,484.799999952316,71,1
1,0,1,379.100000023842,67,1
1,1,1,373.600000023842,77,1
1,1,1,486.5,72,1
1,1,1,305.299999952316,95,1
1,1,1,609.100000023842,75,1
1,1,1,1265.10000002384,58,1
1,1,1,681.299999952316,59,1
1,1,0,375.5,35,1
1,1,1,1124.39999997616,65,1
1,0,1,366.700000047684,79,1
1,1,1,499.199999928474,71,1
1,1,0,567.899999976158,36,1
1,0,1,666.399999976158,66,1
2,1,0,2109.20000004768,72,1
2,1,1,957.5,57,1
2,1,1,1452,84,1
2,1,1,999.800000071526,57,1
2,1,1,779,68,1
2,1,1,557.899999976158,54,1
2,0,1,791.899999976158,27,1
2,1,1,800.200000047684,58,1
2,0,1,687,24,1
