ConditionID,StimPresent,Correct,RT,Confidence,ImageryCheck
1,0,1,1102,100,1
1,0,1,728,100,1
1,0,0,864,77,1
1,0,0,307,100,1
1,1,1,563,100,1
1,1,1,340,100,1
1,0,1,755,84,1
1,0,0,2145,62,1
1,1,1,441,100,1
1,0,1,484,100,1
1,1,1,426,100,1
1,0,1,721,82,1
1,1,1,386,100,1
1,1,1,380,100,1
1,0,1,631,100,1
1,0,1,438,100,1
1,1,1,442,100,1
1,0,1,427,100,1
1,1,1,664,70,1
1,0,1,400,86,1
1,1,1,385,100,1
1,1,0,474,64,1
1,1,1,348,100,1
1,1,1,315,100,1
3,1,1,3303,100,1
3,0,0,3552,100,1
3,0,1,447,100,1
3,1,1,2220,60,1
3,0,1,1393,76,1
3,1,1,562,87,1
3,0,1,272,100,1
3,0,1,615,100,1
3,0,1,320,100,1
3,0,1,625,100,1
3,1,1,448,100,1
3,0,1,504,100,1
3,0,1,712,100,1
3,1,1,353,100,1
3,1,1,452,100,1
3,1,1,421,100,1
3,0,1,474,100,1
3,1,1,410,100,1
3,1,1,395,100,1
3,0,1,555,100,1
3,1,1,301,81,1
3,0,1,390,100,1
3,1,1,320,77,1
3,1,1,364,62,1
3,0,1,786,100,1
3,0,1,809,100,1
3,0,1,878,100,1
3,0,1,691,82,1
3,1,1,840,100,1
3,1,1,295,100,1
3,1,1,429,69,1
3,0,1,457,80,1
3,0,1,489,91,1
3,1,1,474,94,1
3,0,1,733,100,1
3,1,1,380,94,1
3,1,1,338,91,1
3,0,1,426,90,1
3,0,1,441,95,1
3,1,1,297,97,1
3,1,1,412,65,1
3,1,0,489,74,1
3,1,0,893,93,1
3,0,0,474,46,1
3,1,1,644,100,1
3,0,1,849,78,1
3,1,1,349,100,1
3,0,1,519,100,1
2,0,1,505,100,1
2,0,1,716,100,1
2,0,1,479,100,1
2,0,1,712,93,1
2,0,1,592,87,1
2,1,1,341,95,1
2,1,1,340,98,1
2,1,1,333,88,1
2,1,1,322,66,1
2,0,1,497,87,1
2,1,1,332,83,1
2,1,1,319,83,1
2,0,1,394,88,1
2,0,1,544,83,1
2,1,1,262,89,1
2,0,1,472,91,1
2,1,1,333,98,1
2,0,1,381,83,1
2,1,1,254,100,1
2,1,1,359,100,1
2,0,1,427,99,1
2,1,1,277,61,1
2,0,0,426,58,1
2,1,1,696,56,1
3,0,1,336,100,1
3,1,1,268,100,1
3,1,1,270,61,1
3,1,1,302,61,1
3,0,1,402,80,1
3,0,1,395,82,1
3,1,1,269,61,1
3,0,1,308,78,1
3,1,1,240,63,1
3,1,1,239,76,1
3,0,1,347,80,1
3,0,1,375,83,1
3,0,1,383,84,1
3,0,1,436,83,1
3,1,1,328,59,1
3,1,1,316,58,1
3,1,1,361,57,1
3,1,1,313,71,1
3,0,1,473,80,1
3,1,1,316,56,1
3,0,1,474,85,1
3,0,1,461,80,1
3,1,0,321,85,1
3,0,1,291,85,1
1,0,1,520,79,1
1,0,1,369,86,1
1,1,0,814,90,1
1,1,1,548,56,1
1,0,1,530,66,1
1,1,1,678,56,1
1,1,1,442,69,1
1,1,1,429,64,1
1,0,1,678,77,1
1,1,1,410,60,1
1,1,1,380,65,1
1,0,1,459,74,1
1,1,1,351,43,1
1,0,1,509,85,1
1,1,1,148,67,1
1,1,1,273,100,1
1,0,1,505,81,1
1,0,0,382,55,1
1,0,1,442,80,1
1,1,1,153,100,1
1,0,1,457,75,1
1,1,1,285,100,1
1,0,1,353,84,1
1,0,1,686,93,1
1,0,1,682,77,1
1,0,1,695,77,1
1,0,1,564,85,1
1,1,1,351,82,1
1,0,1,401,77,1
1,0,1,428,84,1
1,1,1,335,80,1
1,1,1,334,91,1
1,0,1,338,87,1
1,1,1,556,60,1
1,0,1,394,86,1
1,1,1,318,100,1
