ConditionID,StimPresent,Correct,RT,Confidence,ImageryCheck
1,0,1,771,88,1
1,0,1,860,75,1
1,1,1,4130,37,1
1,0,1,876,65,1
1,1,1,1386,58,1
1,0,1,632,86,1
1,0,1,1351,82,1
1,0,1,682,86,1
1,0,1,618,83,1
1,0,1,661,81,1
1,1,1,1220,40,1
1,0,1,1317,83,1
1,1,1,1820,62,1
1,1,1,645,64,1
1,1,1,629,72,1
1,1,1,556,78,1
1,1,1,852,76,1
1,1,1,571,63,1
1,1,1,487,73,1
1,0,1,690,80,1
1,1,1,1628,37,1
1,1,1,2045,51,1
1,0,1,628,79,1
1,0,1,626,77,1
2,0,1,3198,77,1
2,1,0,1311,76,1
2,0,1,881,77,1
2,0,1,694,80,1
2,0,1,703,82,1
2,0,1,769,90,1
2,0,1,677,85,1
2,1,1,709,65,1
2,0,1,637,81,1
2,1,1,719,74,1
2,0,1,951,82,1
2,0,1,580,82,1
2,1,1,826,41,1
2,1,1,652,60,1
2,1,1,1807,69,1
2,1,0,1119,39,1
2,0,1,506,80,1
2,1,1,992,67,1
2,1,1,690,76,1
2,1,1,738,77,1
2,0,1,552,89,1
2,1,1,579,73,1
2,1,1,655,76,1
2,0,1,491,92,1
1,0,1,513,84,1
1,1,1,1806,39,1
1,0,1,453,92,1
1,1,1,1048,64,1
1,1,1,623,77,1
1,0,1,624,59,1
1,1,1,2345,64,1
1,1,0,980,45,1
1,1,0,4634,72,1
1,1,0,1845,71,1
1,0,1,511,78,1
1,0,1,946,71,1
1,1,1,1149,52,1
1,0,1,520,83,1
1,1,0,2875,57,1
1,0,1,522,89,1
1,0,1,584,84,1
1,0,1,645,87,1
1,0,1,552,82,1
1,0,1,450,82,1
1,1,1,897,64,1
1,1,1,1441,38,1
1,1,1,908,55,1
1,0,1,715,78,1
1,1,0,1195,79,1
1,1,1,2557,78,1
1,1,0,684,76,1
1,0,1,644,87,1
1,0,1,610,82,1
1,0,1,660,77,1
1,0,1,498,83,1
1,1,1,1439,76,1
1,1,1,758,81,1
1,0,1,680,90,1
1,0,1,758,76,1
1,1,1,572,63,1
1,0,1,603,80,1
1,0,1,759,80,1
1,1,1,780,95,1
1,0,1,607,76,1
1,0,1,528,77,1
1,0,1,707,83,1
1,1,1,1097,44,1
1,1,0,1627,79,1
1,1,1,828,63,1
1,1,1,615,42,1
1,0,1,645,73,1
1,1,1,724,49,1
2,1,1,791,42,1
2,0,1,465,95,1
2,0,1,869,81,1
2,0,1,486,78,1
2,1,1,693,82,1
2,1,1,1388,37,1
2,1,1,718,55,1
2,1,1,957,62,1
2,0,1,455,90,1
2,0,1,508,79,1
2,1,1,668,44,1
2,0,1,585,70,1
2,0,1,1169,76,1
2,1,1,1001,39,1
2,1,1,905,57,1
2,1,1,978,62,1
2,0,1,724,78,1
2,1,1,694,73,1
2,1,0,1300,57,1
2,0,1,552,82,1
2,0,1,664,80,1
2,0,1,945,80,1
2,1,0,826,78,1
2,0,1,547,85,1
3,1,0,4396,41,1
3,1,0,4624,73,1
3,0,1,477,73,1
3,0,1,528,76,1
3,1,0,4813,75,1
3,0,1,768,81,1
3,0,1,527,78,1
3,0,1,1159,80,1
3,1,1,1488,37,1
3,1,0,1572,79,1
3,1,0,1437,42,1
3,1,0,1812,72,1
3,0,1,1204,65,1
3,0,1,496,70,1
3,1,0,756,73,1
3,0,1,978,86,1
3,0,1,908,74,1
3,1,0,628,76,1
3,1,0,1592,48,1
3,0,1,575,76,1
3,1,1,4132,42,1
3,0,1,1009,74,1
3,0,1,596,73,1
3,1,0,866,68,1
1,1,1,852,76,1
1,1,1,1049,72,1
1,0,1,359,81,1
1,1,0,1345,34,1
1,1,0,1156,43,1
1,1,1,1709,41,1
1,0,1,620,77,1
1,0,1,2002,63,1
1,1,1,720,75,1
1,1,1,619,58,1
1,0,1,497,85,1
1,0,1,748,58,1
1,1,1,2641,41,1
1,0,1,361,78,1
1,0,1,448,75,1
1,1,1,1073,61,1
1,0,1,382,83,1
1,0,1,390,71,1
1,1,1,2826,36,1
1,1,1,670,38,1
1,1,1,608,56,1
1,0,1,389,71,1
1,0,1,362,78,1
1,0,1,555,82,1
3,0,1,847,87,1
3,1,0,393,81,1
3,1,0,873,81,1
3,1,0,2539,80,1
3,0,1,719,63,1
3,0,1,546,74,1
3,0,1,564,84,1
3,1,0,1904,80,1
3,0,1,604,70,1
3,1,0,1558,77,1
3,0,1,485,81,1
3,1,1,1289,41,1
3,0,1,526,80,1
3,1,1,576,65,1
3,0,1,675,76,1
3,1,1,2510,42,1
3,1,0,483,77,1
3,0,1,525,76,1
3,1,0,611,76,1
3,1,1,887,67,1
3,0,1,457,82,1
3,0,1,425,76,1
3,1,1,1187,45,1
3,0,1,438,78,1
3,0,1,951,88,1
3,1,0,3565,66,1
3,0,1,449,76,1
3,1,0,710,75,1
3,1,1,2374,43,1
3,0,1,376,76,1
3,0,1,515,84,1
3,1,1,898,57,1
3,1,1,552,44,1
3,0,1,458,82,1
3,1,1,2473,66,1
3,0,1,394,83,1
3,1,0,1206,67,1
3,0,1,479,79,1
3,1,0,810,77,1
3,1,1,1562,43,1
3,0,1,439,78,1
3,0,1,670,69,1
3,0,1,786,83,1
3,1,1,1406,46,1
3,0,1,887,79,1
3,0,1,401,80,1
3,1,1,1005,38,1
3,1,1,1139,26,1
2,0,1,465,81,1
2,0,1,453,77,1
2,1,1,585,81,1
2,0,1,373,83,1
2,1,1,424,78,1
2,1,1,522,74,1
2,0,1,440,69,1
2,0,1,1135,88,1
2,0,1,630,74,1
2,1,1,665,43,1
2,0,1,353,78,1
2,1,1,729,56,1
2,0,1,571,81,1
2,1,1,1192,36,1
2,0,1,471,75,1
2,1,1,960,29,1
2,1,1,474,41,1
2,0,1,429,76,1
2,0,1,447,85,1
2,0,1,708,88,1
2,1,1,897,35,1
2,1,1,591,63,1
2,1,1,426,47,1
2,1,1,629,55,1
3,0,1,1657,92,1
3,1,1,3273,61,1
3,0,1,1189,81,1
3,0,1,518,75,1
3,1,0,642,81,1
3,1,0,482,87,1
3,0,1,574,79,1
3,1,1,1062,61,1
3,1,1,2383,45,1
3,0,1,3081,74,1
3,1,1,1311,44,1
3,0,1,451,85,1
3,0,1,1844,80,1
3,1,0,1593,72,1
3,0,1,516,76,1
3,0,1,468,78,1
3,1,1,806,64,1
3,1,1,639,67,1
3,0,1,336,82,1
3,1,0,1269,42,1
3,0,1,583,79,1
3,1,1,1056,37,1
3,1,0,640,41,1
3,0,1,364,72,1
2,0,1,841,81,1
2,0,1,407,85,1
2,1,1,2289,38,1
2,0,1,385,79,1
2,1,0,341,37,1
2,0,1,343,84,1
2,1,1,943,44,1
2,1,1,697,60,1
2,0,1,586,73,1
2,0,1,415,78,1
2,0,1,695,77,1
2,0,1,421,88,1
2,1,0,2051,35,1
2,0,1,430,82,1
2,1,1,1167,39,1
2,1,1,534,43,1
2,1,1,576,61,1
2,1,1,623,61,1
2,1,1,1264,37,1
2,0,1,387,81,1
2,1,0,2170,44,1
2,0,1,547,78,1
2,1,0,1657,54,1
2,0,1,514,78,1
