ConditionID,StimPresent,Correct,RT,Confidence,ImageryCheck
1,1,1,960.699999809265,94,1
1,1,1,944.199999809265,90,1
1,0,1,1322.39999985695,84,1
1,1,1,812,90,1
1,1,1,997.099999904633,65,1
1,1,1,575.299999952316,78,1
1,0,1,336.200000047684,99,1
1,0,1,716.5,100,1
1,1,1,1003.40000009537,85,1
1,0,1,535.300000190735,99,1
1,1,1,510.700000047684,81,1
1,0,1,782.399999856949,88,1
1,0,1,289.399999856949,100,1
1,0,1,335.700000047684,97,1
1,0,1,345.299999952316,85,1
1,0,1,308.699999809265,88,1
1,1,1,469.299999952316,75,1
1,0,1,451.400000095367,96,1
1,1,1,639.599999904633,55,1
1,1,1,391.900000095367,56,1
1,1,1,845.799999952316,36,1
1,1,1,842.700000047684,41,1
1,0,1,387.900000095367,100,1
1,0,1,520.099999904633,100,1
2,0,1,5030.19999980927,94,1
2,1,1,1772.80000019073,89,1
2,1,1,654.400000095367,99,1
2,0,1,1495.40000009537,100,1
2,0,1,687.399999856949,97,1
2,0,1,1165.20000004768,96,1
2,1,1,1396.10000014305,84,1
2,1,1,1022.30000019073,87,1
2,0,1,923.5,99,1
2,0,1,1178.80000019073,98,1
2,0,1,613.700000047684,99,1
2,1,1,941.599999904633,97,1
2,0,1,596.400000095367,97,1
2,1,1,1388.80000019073,100,1
2,1,1,502.900000095367,99,1
2,1,1,1186.79999995232,99,1
2,1,1,625,88,1
2,1,1,702.5,97,1
2,0,1,931.299999952316,95,1
2,0,1,1096.5,96,1
2,0,1,561.099999904633,78,1
2,0,1,457.299999952316,98,1
2,1,1,626,100,1
2,1,1,599.599999904633,97,1
3,0,1,2135.09999990463,99,1
3,1,1,4593.09999990463,97,1
3,0,1,1272.40000009537,96,1
3,1,1,1540.70000004768,98,1
3,1,1,841.400000095367,96,1
3,1,1,793,98,1
3,1,1,559.099999904633,98,1
3,0,1,1015,98,1
3,0,1,977.899999856949,96,1
3,0,1,764.899999856949,97,1
3,1,1,1965.60000014305,97,1
3,1,1,1110.20000004768,94,1
3,0,1,599.599999904633,96,1
3,0,1,686.899999856949,97,1
3,1,1,582.199999809265,98,1
3,0,1,1637.5,96,1
3,0,1,675.700000047684,96,1
3,0,1,650.600000143051,100,1
3,1,1,971.799999952316,77,1
3,0,1,799.400000095367,95,1
3,0,1,698.5,99,1
3,1,1,867.199999809265,67,1
3,1,1,748.799999952316,71,1
3,1,1,460,92,1
2,1,1,1308.59999990463,93,1
2,0,1,1093.5,96,1
2,0,1,327.799999952316,92,1
2,1,1,918.5,66,1
2,1,1,566,86,1
2,0,1,1033.79999995232,92,1
2,0,1,602.099999904633,91,1
2,0,1,893.5,95,1
2,0,1,676.399999856949,93,1
2,0,1,958.399999856949,91,1
2,1,1,300.600000143051,100,1
2,1,1,359.5,100,1
2,0,1,663.5,83,1
2,1,1,451.5,94,1
2,0,1,685.700000047684,98,1
2,1,1,405.399999856949,94,1
2,1,1,606.800000190735,99,1
2,1,1,564.299999952316,94,1
2,0,1,613.799999952316,97,1
2,1,1,845.699999809265,94,1
2,0,1,585.5,96,1
2,0,1,1030.29999995232,95,1
2,1,1,485.700000047684,95,1
2,1,1,600.799999952316,94,1
3,1,0,1173.5,96,1
3,1,1,866.399999856949,53,1
3,0,1,767.299999952316,98,1
3,0,1,722.700000047684,99,1
3,1,1,670.700000047684,54,1
3,1,1,577,60,1
3,0,1,980.700000047684,81,1
3,0,1,415,100,1
3,0,1,2231.89999985695,94,1
3,1,1,608.900000095367,72,1
3,1,1,633.100000143051,73,1
3,1,1,330.799999952316,76,1
3,0,1,1322.70000004768,87,1
3,0,1,656.600000143051,88,1
3,0,1,1291.90000009537,88,1
3,1,1,602.399999856949,64,1
3,1,1,443,89,1
3,0,1,688.200000047684,86,1
3,1,1,477.899999856949,86,1
3,0,1,570.799999952316,88,1
3,0,1,808.400000095367,88,1
3,1,1,576.700000047684,71,1
3,0,1,970.5,83,1
3,1,1,652.899999856949,65,1
1,1,1,1342,88,1
1,1,1,355.900000095367,87,1
1,1,1,340.799999952316,88,1
1,1,1,632,86,1
1,0,1,381.5,86,1
1,1,1,666.799999952316,54,1
1,0,1,334.299999952316,87,1
1,1,1,305.400000095367,69,1
1,1,1,274.599999904633,89,1
1,0,1,575.900000095367,94,1
1,1,1,238.900000095367,87,1
1,0,1,369.5,94,1
1,0,1,494.200000047684,92,1
1,1,0,537.299999952316,30,1
1,0,1,918,92,1
1,0,1,993.400000095367,86,1
1,0,1,2428.20000004768,93,1
1,1,1,883.5,90,1
1,1,1,463.099999904633,85,1
1,0,1,425.600000143051,86,1
1,0,1,794.299999952316,90,1
1,0,1,765.099999904633,88,1
1,1,1,437.100000143051,75,1
1,0,1,304,89,1
3,1,1,1286.39999985695,98,1
3,0,1,1153,94,1
3,1,1,852.299999952316,56,1
3,0,1,284.799999952316,96,1
3,0,1,673.299999952316,92,1
3,1,1,737.400000095367,91,1
3,1,1,2484.89999985695,42,1
3,0,1,619.5,85,1
3,0,1,599.399999856949,56,1
3,0,1,1158.5,75,1
3,0,1,689.799999952316,88,1
3,0,1,683.699999809265,75,1
3,1,1,435.200000047684,58,1
3,1,1,715.900000095367,62,1
3,1,1,520.199999809265,64,1
3,1,1,433.700000047684,70,1
3,1,1,694,67,1
3,0,1,468.900000095367,79,1
3,1,1,308,67,1
3,0,1,521.699999809265,81,1
3,1,1,506.399999856949,66,1
3,0,1,631.100000143051,80,1
3,0,1,307.599999904633,81,1
3,1,1,476.700000047684,59,1
1,0,1,1761.20000004768,89,1
1,0,1,609.299999952316,86,1
1,1,1,496,58,1
1,1,0,528.5,89,1
1,0,1,359.200000047684,83,1
1,1,1,1157.59999990463,52,1
1,1,1,480.700000047684,53,1
1,1,1,452.200000047684,68,1
1,1,1,335.299999952316,65,1
1,1,1,726.599999904633,94,1
1,0,1,445.5,88,1
1,1,1,596.100000143051,89,1
1,0,1,659,88,1
1,1,1,405.199999809265,87,1
1,1,1,295,85,1
1,0,1,498.200000047684,85,1
1,0,1,423.700000047684,85,1
1,0,1,721.399999856949,86,1
1,0,1,705.899999856949,85,1
1,0,1,1014.80000019073,87,1
1,0,1,1046.70000004768,87,1
1,1,1,463.700000047684,100,1
1,1,1,421.700000047684,78,1
1,0,1,561.200000047684,100,1
2,1,1,1349.09999990463,99,1
2,1,1,584.600000143051,99,1
2,0,0,716.400000095367,37,1
2,0,1,925.799999952316,78,1
2,0,1,1219.29999995232,65,1
2,0,1,899.299999952316,80,1
2,1,1,1156.40000009537,96,1
2,1,1,585.199999809265,87,1
2,0,1,1421.40000009537,24,1
2,1,1,763.200000047684,43,1
2,1,1,669.599999904633,95,1
2,1,1,507.799999952316,90,1
2,1,1,510.5,84,1
2,0,1,858.599999904633,67,1
2,0,1,297.599999904633,85,1
2,1,1,1076.90000009537,85,1
2,0,1,453.200000047684,79,1
2,0,1,770.700000047684,88,1
2,1,1,516.400000095367,84,1
2,1,1,478.599999904633,84,1
2,0,1,1401.29999995232,87,1
2,1,1,634.5,55,1
2,0,1,402.5,86,1
2,0,1,805.100000143051,73,1
2,1,1,1084.40000009537,94,1
2,0,1,428,91,1
2,0,1,473.299999952316,90,1
2,0,1,775.700000047684,86,1
2,1,1,641.100000143051,47,1
2,1,1,486,91,1
2,0,1,587.699999809265,88,1
2,1,1,645.5,87,1
2,1,1,447.400000095367,84,1
2,0,1,476.699999809265,85,1
2,1,1,464.799999952316,87,1
2,0,1,400.699999809265,93,1
2,0,1,424.399999856949,87,1
2,0,1,286.600000143051,93,1
2,1,1,222.399999856949,91,1
2,1,1,473.299999952316,91,1
2,0,1,865.099999904633,89,1
2,1,1,419.399999856949,90,1
2,1,1,507.900000095367,83,1
2,0,1,548.099999904633,96,1
2,0,1,263.400000095367,95,1
2,1,1,596,98,1
2,1,1,496.400000095367,87,1
2,0,1,681.599999904633,88,1
3,0,1,1862.20000004768,88,1
3,0,1,407,87,1
3,0,1,496.200000047684,86,1
3,1,1,647.299999952316,58,1
3,0,1,618.799999952316,93,1
3,1,1,645.899999856949,58,1
3,1,1,514.399999856949,53,1
3,0,1,623.400000095367,88,1
3,1,1,783.100000143051,89,1
3,1,1,524.399999856949,100,1
3,1,1,1048.39999985695,88,1
3,0,1,1020.5,90,1
3,0,1,668.900000095367,91,1
3,1,1,414.099999904633,100,1
3,0,1,610.799999952316,96,1
3,0,1,668.400000095367,97,1
3,0,1,866.900000095367,95,1
3,0,1,650.699999809265,89,1
3,1,0,301.400000095367,27,1
3,1,1,271.100000143051,90,1
3,0,1,840.100000143051,90,1
3,1,1,455.599999904633,94,1
3,1,1,309,91,1
3,1,1,348.900000095367,86,1
1,1,1,1176.20000004768,100,1
1,0,1,910.5,59,1
1,1,1,261.200000047684,87,1
1,0,1,329.800000190735,85,1
1,1,1,418.599999904633,89,1
1,1,1,311.799999952316,91,1
1,1,1,265.900000095367,64,1
1,0,1,389.399999856949,79,1
1,1,1,943.100000143051,76,1
1,0,1,550,81,1
1,0,1,762.5,82,1
1,1,1,447.299999952316,80,1
1,1,1,408.700000047684,81,1
1,1,1,432.700000047684,84,1
1,0,1,280.300000190735,82,1
1,1,1,246.900000095367,86,1
1,1,1,393.5,83,1
1,0,1,377.299999952316,100,1
1,0,1,659,92,1
1,0,1,495.5,91,1
1,0,1,378.599999904633,89,1
1,1,1,366,90,1
1,0,1,512.799999952316,90,1
1,0,1,409.599999904633,91,1
